name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
Gammy Elbow - VIP Mix,191296,False,19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7,-2.567,True,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0,412.0,103.0,4.067085953878407,j-dance,14
Nobody Supposed to Be Here,99526,False,21,Kyle Edwards;DJ Smallz 732,Warning,0.885,0.75,6,-8.859,False,0.173,0.0878,0.963,0.0453,0.406,140.079,4.0,231.0,57.0,1.1709531013615733,techno,20
Beautiful Girl,218329,False,22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,0.854,7,-6.17,True,0.105,0.116,4.02e-06,0.108,0.829,110.01,4.0,400.0,98.0,4.067085953878407,j-dance,14
知足,256692,False,51,Mayday,知足 just my pride 最真傑作選,0.406,0.23,4,-9.007,True,0.0297,0.88,0.0,0.107,0.395,159.914,4.0,667.0,167.0,0.916010498687664,mandopop,16
Do You Want a Man - Heaven & Hell Remix,145773,False,22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,0.921,5,-3.555,True,0.0931,0.198,0.00035,0.133,0.816,122.978,4.0,295.0,74.0,1.2793053545586106,afrobeat,1
Escalate,220666,False,25,X-RX,Activate the Machinez,0.529,0.99,9,-4.075,True,0.0422,0.000821,0.0743,0.306,0.589,135.989,4.0,488.0,121.0,1.343558282208589,industrial,12
Real Bad Man - Radio Edit,194616,False,1,Beenie Man;Blakk Man,Imac Riddim,0.717,0.795,8,-4.198,True,0.291,0.0298,2.33e-06,0.133,0.792,133.673,5.0,429.0,108.0,2.7259036144578315,j-dance,14
Three Black Cats,124333,False,14,CoComelon,Halloween Party,0.883,0.395,0,-11.0,True,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,3.0,274.0,91.0,3.349056603773585,disney,7
Dust till Dawn,134000,False,45,Dusty Decks,Solid Centre,0.747,0.571,10,-6.985,False,0.119,0.0264,0.888,0.102,0.71,89.96,4.0,196.0,48.0,0.7573891625615764,study,19
Beqaaboo,187266,False,53,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.679,0.663,9,-6.279,True,0.051,0.0221,0.00609,0.351,0.511,123.985,4.0,384.0,97.0,1.343558282208589,indian,11
→,282893,False,18,SILENT SIREN,Silent Siren Selection,0.522,0.805,9,-5.427,True,0.0436,0.00608,0.0,0.265,0.616,176.127,4.0,815.0,203.0,1.343558282208589,j-idol,15
Ukon Laulu,252556,False,27,Lepoka,Bibere Vivere,0.373,0.927,7,-4.14,True,0.09,0.000365,0.000162,0.0878,0.479,180.012,4.0,745.0,188.0,4.067085953878407,spanish,18
Monday Morning Before Work,227320,False,13,Kelpe,Kyverdale Road,0.757,0.153,8,-23.574,True,0.047,0.857,0.952,0.106,0.476,102.987,4.0,382.0,95.0,2.7259036144578315,idm,10
えっと干支がーる,204000,False,28,夜光性アミューズ,えっと干支がーる,0.684,0.898,10,-4.965,True,0.0494,0.0174,0.0,0.323,0.808,100.021,4.0,324.0,81.0,0.7573891625615764,j-idol,15
Soim In Vazduh,417025,False,20,Bucovina,Sub Stele,0.497,0.974,0,-5.032,True,0.0821,0.000247,0.349,0.252,0.232,154.991,4.0,1068.0,269.0,3.349056603773585,black-metal,2
Doug's Tune,136266,False,28,The Dillards,Back Porch Bluegrass,0.397,0.933,3,-9.578,True,0.0503,0.275,0.969,0.0951,0.977,135.491,4.0,292.0,71.0,1.7389162561576357,bluegrass,3
愛上你算我賤,250941,False,55,NICKTHEREAL,REAL LIFE,0.478,0.738,6,-4.464,False,0.0414,0.00432,0.0,0.154,0.353,163.994,4.0,670.0,167.0,1.1709531013615733,mandopop,16
never had,140487,False,12,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.405,0.389,2,-14.809,True,0.0419,0.863,0.72,0.134,0.748,89.271,4.0,200.0,50.0,3.70048309178744,techno,20
I Love You - Love Mix,217916,False,1,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.682,0.877,0,-4.89,True,0.0477,0.0158,0.218,0.0439,0.512,144.003,4.0,518.0,129.0,3.349056603773585,happy,9
H.O.P.E.,569782,False,33,Hozho,"Singles Collection, Vol. 1",0.712,0.474,4,-11.715,True,0.0516,0.0664,0.745,0.0998,0.0839,127.026,4.0,1198.0,302.0,0.916010498687664,techno,20
Pal - Lofi Flip,263200,False,57,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,0.6,7,-7.662,False,0.0417,0.192,0.046,0.176,0.23,119.944,4.0,517.0,129.0,4.067085953878407,indian,11
Meu Vício É Você,144906,False,0,Zezo,Zezo (O Príncipe dos Teclados),0.771,0.856,1,-2.34,False,0.0265,0.533,0.0,0.105,0.713,111.064,4.0,268.0,66.0,2.36741214057508,forro,8
Get Get Down - Original Mix,551999,False,8,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,0.918,5,-8.041,False,0.0839,0.000146,0.845,0.116,0.51,126.953,4.0,1166.0,290.0,1.2793053545586106,chicago-house,6
Battle Cry,175200,True,0,Kraff Gad,Battle Cry,0.867,0.487,7,-9.212,True,0.115,0.231,0.0,0.0872,0.204,100.104,4.0,288.0,72.0,4.067085953878407,j-dance,14
Wir Ziehen Heut Abend Auf's Dach,210306,False,26,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7,-5.591,False,0.0761,0.627,3.66e-06,0.493,0.799,124.061,4.0,426.0,107.0,4.067085953878407,happy,9
Despot,361800,False,18,Windir,Likferd,0.318,0.623,2,-5.794,False,0.0531,1.21e-06,0.935,0.224,0.192,90.051,4.0,539.0,136.0,3.70048309178744,black-metal,2
Vou Te Procurar,213916,False,0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0.541,0,-7.75,True,0.0282,0.0877,1.58e-05,0.573,0.83,128.901,4.0,458.0,113.0,3.349056603773585,forro,8
Isso Aquí Tá Bom Demais,154240,False,53,Dominguinhos,Nas Costas Do Brasil,0.728,0.802,2,-7.717,True,0.043,0.256,0.00262,0.314,0.809,139.992,4.0,354.0,87.0,3.70048309178744,forro,8
The Light Tears Apart,256687,False,0,Shivered,Journey to Fade,0.443,0.932,4,-5.086,False,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0,664.0,166.0,0.916010498687664,iranian,13
i loved you first,227067,False,50,joan,i loved you first,0.556,0.276,0,-9.603,True,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,4.0,280.0,70.0,3.349056603773585,sleep,17
Filho de Davi,353986,False,49,Tony Allysson,Poderoso Deus,0.578,0.635,2,-5.335,True,0.0278,0.661,0.0,0.138,0.343,137.98,4.0,806.0,202.0,3.70048309178744,brazil,4
"Tere Siva Jag Mein (From ""Tadap"")",205022,False,44,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.756,0.799,5,-5.728,True,0.0682,0.0894,0.00044,0.129,0.709,122.04,4.0,413.0,103.0,1.2793053545586106,indian,11
Homophobia,273819,True,0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1,-5.98,True,0.151,0.0106,0.73,0.254,0.156,92.322,4.0,407.0,101.0,2.36741214057508,iranian,13
Ajab Adaayein,194245,False,46,Swattrex,Ajab Adaayein,0.667,0.193,4,-17.939,True,0.0316,0.867,0.000222,0.108,0.307,90.77,4.0,287.0,70.0,0.916010498687664,indian,11
The Remedy,367191,True,12,Puscifer,Money Shot,0.466,0.759,11,-8.148,False,0.0311,0.0304,0.0405,0.171,0.659,180.021,5.0,1078.0,272.0,0.7481162540365985,industrial,12
Long Hot Summer Days,288760,False,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,True,0.0811,0.926,0.00106,0.294,0.522,70.959,4.0,341.0,86.0,1.343558282208589,bluegrass,3
Acalma Minha Tempestade,384850,False,56,Frei Gilson,Eu Vou Crer em Ti,0.538,0.907,10,-6.877,True,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,4.0,852.0,214.0,0.7573891625615764,brazil,4
Cloudy Daze - Ham Mix,323928,False,23,Bang!,Cloudy Daze,0.593,0.588,10,-14.42,True,0.043,0.00315,0.124,0.0639,0.328,169.857,4.0,900.0,225.0,0.7573891625615764,happy,9
La Lola,197320,False,67,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,0.79,9,-4.393,False,0.102,0.0646,0.00883,0.121,0.867,151.985,4.0,496.0,123.0,1.343558282208589,spanish,18
Des fissures apparaissent,82746,False,25,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,0.483,1,-14.552,True,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,101.0,32.0,2.36741214057508,disney,7
The Potters Hand,256093,False,43,Hillsong Worship,Ultimate Worship Vol 1,0.301,0.456,7,-6.606,True,0.0259,0.34,2.46e-06,0.205,0.193,74.59,4.0,311.0,76.0,4.067085953878407,iranian,13
Goodbye (feat. Xillions),155492,False,53,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,0.801,1,-4.501,False,0.122,0.0359,0.000547,0.0743,0.514,142.062,4.0,362.0,91.0,2.36741214057508,techno,20
Summer Wages,269493,False,21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,0.184,11,-14.493,True,0.0313,0.696,0.000177,0.177,0.509,128.61,4.0,568.0,141.0,0.7481162540365985,bluegrass,3
E.C.T. - Ao Vivo,210599,False,44,Cássia Eller,Acústico (Ao Vivo),0.666,0.896,7,-8.386,True,0.12,0.67,2.99e-06,0.149,0.633,130.093,4.0,455.0,114.0,4.067085953878407,brazil,4
American Car,279293,False,17,Keller Williams with The Travelin' McCourys,Pick,0.593,0.584,2,-6.916,True,0.0269,0.577,0.00228,0.203,0.665,96.017,4.0,439.0,109.0,3.70048309178744,bluegrass,3
Beaks of Eagles,271974,False,11,Kelpe,Fourth: The Golden Eagle,0.615,0.517,10,-9.227,True,0.0425,0.0907,0.729,0.183,0.644,95.08,4.0,422.0,107.0,0.7573891625615764,idm,10
Down 4 U - Extended Version; 2017 Remaster,507832,False,7,Romanthony,Glasgow Underground 1997-2017,0.885,0.592,5,-6.898,False,0.0599,0.000285,0.0934,0.0555,0.708,128.389,4.0,1087.0,273.0,1.2793053545586106,chicago-house,6
For Those Tears I Died,181760,False,37,The Isaacs,The Living Years,0.422,0.117,11,-13.659,True,0.0315,0.901,0.0,0.0546,0.231,77.202,4.0,225.0,56.0,0.7481162540365985,bluegrass,3
Filmes e Histórias,229053,False,46,Pablo,Um Novo Passo,0.649,0.567,1,-5.726,True,0.0314,0.316,0.0,0.397,0.635,131.91,4.0,503.0,127.0,2.36741214057508,forro,8
Dignity,314183,False,2,Kahtmayan,Resurrection 1,0.602,0.954,6,-4.389,True,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0,619.0,155.0,1.1709531013615733,iranian,13
Dance Wit U,198930,False,21,CIRRRCLE,BESTY,0.763,0.623,10,-5.971,False,0.285,0.0653,0.0,0.0282,0.8,105.963,4.0,348.0,86.0,0.7573891625615764,j-dance,14
Falling Time,427973,False,6,Alphaxone,Dystopian Gate,0.106,0.233,1,-23.622,True,0.0391,0.843,0.876,0.141,0.0388,82.33,3.0,696.0,231.0,2.36741214057508,iranian,13
Stupid MF,144986,False,53,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0.726,0,-5.05,False,0.128,0.00698,0.0151,0.167,0.726,151.972,4.0,364.0,90.0,3.349056603773585,industrial,12
與海無關 (《比悲傷更悲傷的故事》影集版插曲),245231,False,52,告五人,運氣來得若有似無,0.654,0.227,2,-12.619,True,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4.0,313.0,78.0,3.70048309178744,mandopop,16
Het barsten begint,82746,False,18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1,-14.552,True,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,101.0,32.0,2.36741214057508,disney,7
Helligdom Av Døde,377217,False,11,Khold,Svartsyn,0.468,0.661,2,-13.254,True,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,4.0,793.0,198.0,3.70048309178744,black-metal,2
A System Of Mirrors,459389,False,8,Robert Hood,Mirror Man,0.685,0.697,10,-12.305,False,0.0373,8.41e-06,0.896,0.069,0.148,129.999,4.0,966.0,241.0,0.7573891625615764,chicago-house,6
ラッキー7,194920,False,26,Flower,Hitomi No Oku No Milkyway,0.674,0.914,7,-3.311,True,0.0467,0.016,0.0,0.0402,0.778,93.003,4.0,293.0,73.0,4.067085953878407,j-idol,15
Snart blir jeg majestet,171600,False,41,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,0.753,6,-8.356,True,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,4.0,276.0,69.0,1.1709531013615733,disney,7
Tell Me If Yuh Like It,186666,True,22,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4,-4.554,False,0.338,0.0423,0.0,0.075,0.331,114.966,5.0,354.0,87.0,0.916010498687664,j-dance,14
Dull Boy,255320,False,32,Mudvayne,"By The People, For The People",0.598,0.953,2,-4.487,False,0.193,0.00148,2.3e-06,0.23,0.312,142.97,4.0,581.0,145.0,3.70048309178744,industrial,12
Atomic Ever After,183139,False,40,Kid Travis,Strawberry Skies,0.748,0.356,6,-13.473,True,0.176,0.205,0.0,0.0917,0.59,137.641,4.0,415.0,105.0,1.1709531013615733,study,19
River of Grace,232653,False,48,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,0.396,11,-10.654,True,0.0468,0.828,0.000766,0.1,0.398,77.046,4.0,291.0,72.0,0.7481162540365985,brazil,4
Dooms Day,227056,False,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,False,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0,611.0,153.0,4.067085953878407,iranian,13
"Zicke Zacke, Prost ihr Säcke",170042,False,22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8,-1.898,True,0.304,0.0221,0.0,0.529,0.712,140.089,4.0,391.0,97.0,2.7259036144578315,happy,9
Sick Of It All,301383,False,24,Nosferatu;Evil Activities,Strength,0.596,0.997,6,-3.259,False,0.18,0.23,0.00349,0.584,0.15,169.968,4.0,847.0,212.0,1.1709531013615733,happy,9
Aropador,240026,False,22,Plastilina Mosh,Juan Manuel,0.783,0.506,2,-14.552,True,0.0651,0.952,0.918,0.0676,0.397,117.147,4.0,461.0,115.0,3.70048309178744,afrobeat,1
The Sicarii,222880,False,1,Ninkharsag,Blood Of Celestial Kings,0.172,0.951,6,-5.129,False,0.0992,0.0,0.886,0.115,0.197,122.02,4.0,447.0,111.0,1.1709531013615733,black-metal,2
Daar zijn we weer!,238228,True,17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4,-4.478,False,0.144,0.181,0.00197,0.303,0.259,100.023,4.0,395.0,98.0,0.916010498687664,happy,9
deep cracks,113684,False,33,fogdream,deep cracks,0.763,0.368,5,-13.875,True,0.0892,0.29,0.861,0.102,0.665,75.993,4.0,141.0,35.0,1.2793053545586106,study,19
WKND,264768,False,16,Camo & Krooked,Zeitgeist,0.612,0.68,9,-5.608,True,0.184,0.00075,0.681,0.134,0.439,173.974,4.0,766.0,193.0,1.343558282208589,industrial,12
Offering,222106,False,31,The Avett Brothers,A Carolina Jubilee,0.342,0.442,7,-7.312,True,0.0294,0.24,0.00412,0.107,0.195,88.496,4.0,325.0,81.0,4.067085953878407,bluegrass,3
Hondo,98384,False,15,Flamman & Abraxas,Hondo,0.597,0.928,3,-8.626,False,0.034,0.000821,0.798,0.308,0.843,139.084,4.0,223.0,55.0,1.7389162561576357,techno,20
Tum Mile,343786,False,70,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.738,0.798,0,-6.663,True,0.0334,0.32,5.15e-06,0.31,0.793,123.01,4.0,695.0,174.0,3.349056603773585,indian,11
イエローライト,274466,False,17,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,0.856,8,-4.676,True,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4.0,749.0,188.0,2.7259036144578315,j-idol,15
Aaoge jab tum o sajna unplugged,101615,False,5,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.501,0.0664,7,-20.161,True,0.0332,0.983,0.00057,0.123,0.547,94.04,4.0,158.0,39.0,4.067085953878407,indian,11
Dendrofil for Yggdrasil,340080,False,4,Kvelertak,Nattesferd,0.104,0.964,9,-5.325,True,0.0864,9.91e-06,0.57,0.525,0.126,158.191,4.0,882.0,222.0,1.343558282208589,black-metal,2
Hermosa,210088,False,1,Timothy Infinite,Suave,0.763,0.858,0,-5.413,True,0.0496,0.218,0.873,0.103,0.284,101.982,4.0,354.0,88.0,3.349056603773585,study,19
Forest Green,189434,False,34,Kyson,Forest Green / Have My Back,0.616,0.314,6,-11.98,True,0.0426,0.472,0.0999,0.112,0.0924,104.026,4.0,319.0,78.0,1.1709531013615733,idm,10
Big Brother,307932,True,21,Mushroomhead,Superbuick,0.323,0.902,9,-6.034,True,0.11,0.000528,0.00663,0.161,0.407,147.309,4.0,733.0,184.0,1.343558282208589,industrial,12
Dhoom Machale Dhoom,235624,False,53,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1,-8.262,True,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0,429.0,107.0,2.36741214057508,indian,11
Confide,268378,False,34,Technimatic;A Little Sound,Confide,0.285,0.867,10,-3.65,False,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,4.0,752.0,189.0,0.7573891625615764,idm,10
Rockit,155653,False,23,Bad Boy Bill,The Album,0.866,0.574,7,-7.836,True,0.0649,0.00108,0.443,0.0406,0.602,127.951,4.0,328.0,81.0,4.067085953878407,chicago-house,6
My Promiscuous Daughter,196960,False,28,CKY,"Camp Kill Yourself, Vol.1",0.263,0.767,7,-10.161,True,0.0525,0.00696,0.478,0.356,0.308,125.995,4.0,410.0,103.0,4.067085953878407,industrial,12
Are You Ready (ft. Capital J),171789,False,14,Bassnectar;Capital J,Cozza Frenzy,0.471,0.731,1,-6.222,True,0.0921,0.000248,0.731,0.195,0.667,94.511,4.0,256.0,63.0,2.36741214057508,breakbeat,5
Graveyard Slut,243626,True,19,Darkthrone,The Cult is Alive,0.0658,0.993,9,-2.484,True,0.164,0.000697,0.217,0.317,0.107,199.986,4.0,722.0,180.0,1.343558282208589,black-metal,2
Too Close To Hate,288333,False,24,Sevendust,Sevendust,0.646,0.809,4,-9.072,True,0.0745,0.000264,0.00109,0.207,0.39,92.5,4.0,444.0,110.0,0.916010498687664,industrial,12
Their Law,400733,True,48,The Prodigy,Music for the Jilted Generation,0.638,0.962,7,-8.468,True,0.0541,0.00223,0.716,0.309,0.562,119.081,4.0,791.0,197.0,4.067085953878407,breakbeat,5
Amores de barra,194666,False,29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7,-6.99,True,0.155,0.443,2.46e-06,0.201,0.315,172.065,4.0,543.0,135.0,4.067085953878407,spanish,18
Mehman,270937,False,24,Anupam Roy,Mehman,0.603,0.783,6,-6.012,True,0.0486,0.131,4.16e-05,0.234,0.703,127.981,4.0,571.0,141.0,1.1709531013615733,indian,11
BALD! REMIX,153127,True,48,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,0.949,1,0.402,True,0.31,0.181,0.0,0.646,0.705,155.015,4.0,394.0,100.0,2.36741214057508,industrial,12
Be Kind,247433,False,33,Rival Consoles,Persona,0.507,0.343,10,-20.092,False,0.0405,0.959,0.93,0.102,0.45,154.096,4.0,620.0,153.0,0.7573891625615764,idm,10
"Safar (From ""Jab Harry Met Sejal"")",365669,False,50,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.307,0.604,7,-5.592,True,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,5.0,652.0,165.0,4.067085953878407,indian,11
期待,282840,False,26,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0.645,0,-10.555,True,0.0536,0.128,0.0,0.0825,0.483,74.127,4.0,338.0,84.0,3.349056603773585,mandopop,16
勉強の歌 - 2012 Remaster,280026,False,23,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.671,0.968,9,-5.591,True,0.038,0.0841,8.61e-05,0.642,0.963,129.901,4.0,595.0,148.0,1.343558282208589,j-idol,15
Stukas im Visier,332786,False,30,Feindflug,Feindflug (Vierte Version),0.594,0.999,4,-0.527,True,0.0929,0.00654,0.932,0.311,0.111,139.904,4.0,773.0,195.0,0.916010498687664,industrial,12
"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87931,False,22,David Healer,Studio Ghibli Piano Lullaby,0.641,0.289,5,-19.692,True,0.0484,0.985,0.954,0.104,0.63,116.011,4.0,169.0,41.0,1.2793053545586106,disney,7
Fried Banana 2018,279800,False,11,OSAMU SATO,LSD REVAMPED,0.56,0.886,9,-8.416,False,0.0456,0.107,0.833,0.0795,0.964,120.005,4.0,549.0,137.0,1.343558282208589,idm,10
Mi Chaqueta de Cuero,175177,True,42,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,0.509,5,-8.174,True,0.0684,0.773,0.0484,0.0948,0.32,137.068,4.0,397.0,99.0,1.2793053545586106,spanish,18
cheesus,126000,False,0,Giorgio Robertini,Slidetrue,0.598,0.336,9,-11.992,True,0.0769,0.778,0.942,0.103,0.0386,90.156,4.0,188.0,48.0,1.343558282208589,study,19
Don't Loose Control,373953,False,0,Cosmic Boys,"Monosphere, Vol. 5",0.789,0.883,5,-4.552,True,0.0635,0.000309,0.917,0.065,0.363,128.992,4.0,799.0,199.0,1.2793053545586106,techno,20
Shabistan,389800,False,6,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.316,0.48,7,-14.772,False,0.0559,0.828,0.817,0.0685,0.269,89.008,4.0,643.0,160.0,4.067085953878407,iranian,13
Prego e Martelo,178678,False,42,Pablo,Meu Coração,0.773,0.8,4,-3.929,True,0.0389,0.75,0.0,0.122,0.792,131.948,4.0,387.0,95.0,0.916010498687664,forro,8
Weird Sex,50640,False,0,Leila Bela,Angra Manyu,0.34,0.332,6,-17.576,True,0.0597,0.767,0.635,0.112,0.139,81.286,3.0,65.0,20.0,1.1709531013615733,iranian,13
Crackpipe,272382,False,21,Micropoint,Overdose United,0.673,0.984,5,-1.414,False,0.288,0.0002,0.898,0.0887,0.105,99.998,4.0,452.0,114.0,1.2793053545586106,industrial,12
退後,260200,False,60,Jay Chou,依然范特西,0.661,0.572,0,-5.665,True,0.0246,0.406,0.0,0.111,0.186,131.954,4.0,561.0,141.0,3.349056603773585,mandopop,16
可愛女人,236466,False,55,Jay Chou,杰倫,0.767,0.671,5,-9.995,True,0.0317,0.552,3.23e-05,0.201,0.921,135.468,4.0,532.0,132.0,1.2793053545586106,mandopop,16
Pai Nosso - Ao Vivo,213866,False,58,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,0.189,0.624,9,-7.389,True,0.045,0.0877,0.0,0.0628,0.282,183.259,3.0,645.0,215.0,1.343558282208589,brazil,4
"Bilu, Bilu",207493,False,57,Pablo,É Só Dizer Que Sim,0.628,0.663,5,-6.267,True,0.0298,0.437,0.0,0.527,0.606,132.009,4.0,456.0,115.0,1.2793053545586106,forro,8
Nossa História,276240,False,45,Forró Boys,"Forró di Katiguria, Vol. 3",0.717,0.822,8,-4.765,True,0.0334,0.0874,0.0,0.116,0.901,92.998,4.0,428.0,107.0,2.7259036144578315,forro,8
Ballada 07,216640,False,23,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.498,0.479,5,-7.251,True,0.0251,0.629,0.000884,0.229,0.281,109.092,4.0,388.0,97.0,1.2793053545586106,disney,7
I'm not yours (feat. 安室奈美惠),221720,False,48,Jolin Tsai;Namie Amuro,呸,0.622,0.874,9,-5.639,True,0.0437,0.0122,1.8e-05,0.651,0.483,128.015,4.0,470.0,116.0,1.343558282208589,mandopop,16
Ginger Root,140750,False,4,"Sarah, the Illstrumentalist",FLOWERS,0.396,0.217,9,-12.465,False,0.0415,0.677,0.794,0.176,0.107,84.658,4.0,190.0,47.0,1.343558282208589,study,19
Anye Up,200914,False,21,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",0.529,0.866,1,-3.226,True,0.0503,7.45e-06,0.936,0.152,0.739,174.996,4.0,577.0,144.0,2.36741214057508,breakbeat,5
Aura,521401,False,56,Avoure,U,0.684,0.604,11,-9.088,False,0.0471,0.00487,0.887,0.0456,0.364,123.0,4.0,1066.0,267.0,0.7481162540365985,techno,20
Noble Maiden Fair,163723,False,0,Jartisto,Brave (Music from the Motion Picture for Solo Piano),0.625,0.0464,11,-20.287,False,0.115,0.991,0.946,0.147,0.455,120.912,3.0,288.0,95.0,0.7481162540365985,disney,7
